,storeId,url,additionalAttributes,breadcrumbs,id,predicted_lables
64,,,,clothing shoes & jewelry > women > shoes > pumps,8589934656,rest
65,,,,target > clothing > women's clothing > intimates > bras,8589934657,rest
66,,,,home > decor > rugs > accent rugs,8589934658,rest
67,,,,online shopping >  clothing & shoes >  shoes >  men's shoes >  athletic,8589934659,rest
68,,,,health > home health care > blood pressure monitors,8589934660,rest
71,,,,target > patio & garden > patio furniture > patio chairs,8589934663,rest
72,,,,health & household > medical supplies & equipment > braces splints & supports > arm hand & finger supports > elbow braces,8589934664,rest
73,,,,automotive,8589934665,rest
74,,,,target > clothing > women's clothing > intimates > bras > push up,8589934666,rest
75,,,,health > vitamins > children's vitamins,8589934667,rest
76,,,,household essentials > cleaning supplies > all-purpose cleaners > other grocery,8589934668,rest
77,,,,best buy > home > toys games & hobbies > learning & education > educational toys,8589934669,rest
78,,,,best buy > appliances > heating cooling & air quality > fireplaces > outdoor fireplaces,8589934670,rest
79,,,,best buy > cell phones > cell phone accessories > smartwatches & accessories > smartwatches,8589934671,rest
80,,,,clothing shoes & jewelry > women > clothing > tops & tees > knits & tees,8589934672,rest
81,,,,home > decor > rugs > area rugs,8589934673,rest
82,,,,best buy > computers & tablets > networking & wireless > routers > wired routers,8589934674,rest
83,,,, home  >  decor  >  curtains & window treatments  >  blinds & shades ,8589934675,rest
84,,,,home page > party & occasions > crafts > scrapbooking & paper crafts,8589934676,rest
85,,,,target > gift finder > gifts for baby > gear,8589934677,rest
86,,,,target > clothing > women's clothing > swimsuits > bikinis,8589934678,rest
87,,,, online shopping  >  clothing & shoes  >  women's clothing  >  loungewear  >  sweatshirts & hoodies ,8589934679,rest
88,,,,office > office supplies > labels & stickers,8589934680,rest
89,,,,target > clothing > women's clothing > tops > shirts & blouses,8589934681,rest
91,,,,food & gifts > gifts > garden & outdoor gifts,8589934683,rest
93,,,,tools & home improvement > building supplies > building materials > millwork > corbels,8589934685,rest
94,,,,automotive > interior accessories > sun protection > sunshades > windshield sunshades,8589934686,rest
95,,,,target > clothing > women's clothing > tops > tees & tanks > basic,8589934687,rest
96,,,,home goods > home decor store > decorative accessories > tapestries & wall hangings,8589934688,rest
98,23,http://www.walmart.com/ip/Pacto-Satanico-La-Mujer-Del-Diablo-La-Satanica-Alguien-Tiene-Que-Morir-Juan-El-Enterrador-4-Pack-Spanish/12335693,"Rating=Not Rated;Format=DVD;Starring=Raul Ramirez, Ana Martin, Norma Lazareno, Jorge Russek, Rosenda Bernal, Ana Luisa Peluffo;Audio Tracks=AC, Stereo;DVD Release Date=09/15/2009;Language=Spanish;Studio Name=Ocean Distribution, LLC;Run Time (in minutes)=338 minutes",movies & tv > movies > horror > supernatural,8589934690,videos
99,,,,health & household > health care > foot health > inserts & insoles > insoles,8589934691,rest
100,,,,home > kitchen & dining > dining & entertaining > outdoor tableware & picnic,8589934692,rest
101,,,,target > clothing > baby & newborn clothing > outfits,8589934693,rest
102,,,,best buy > computers & tablets > networking & wireless > ethernet hubs & switches,8589934694,rest
103,,,, jewelry & watches  >  jewelry  >  wedding rings  >  women's wedding bands ,8589934695,rest
104,,,, clothing  >  women  >  women's bottoms  >  women's jeans ,8589934696,rest
105,,,,sports & outdoors > outdoor sports > hunting > hunting clothing,8589934697,rest
106,,,,target > clothing > women's clothing > plus size clothing > plus size tops > tees & tanks > basic,8589934698,rest
107,,,, online shopping  >  home & garden  >  home decor  >  decorative accessories  >  candles & holders ,8589934699,rest
108,23,http://www.walmart.com/ip/38809913,Format=Hardcover;Number of Pages=369;ISBN-13=9783777422923;Publish Date=Oct 2014;ISBN-10=3777422924;Publisher=David Brown Book Co,books > biography & memoirs > general,8589934700,books
109,22,https://www.target.com/p/x-men-trilogy-dvd-digital/-/A-11360921,"Movie Genre=Sci-Fi & Fantasy;Store Item Number (DPCI)=058-23-0090;Origin=Made in the USA or Imported;UPC=024543374169;Movie Studio=20th Century Fox;Street Date=October 3, 2006;Software Format=DVD;TCIN=11360921","target > movies, music & books > movies > sci-fi & fantasy",8589934701,videos
110,26,https://www.overstock.com/Books-Movies-Music-Games/Emmanuelle-DVD/2595314/product.html,"Rating=Unrated;Format=DVD;Dimensions=7.5x5.3x0.6;Weight=0.2 lbs;Extra Info=Unrated Special Edition;Studio=Lions Gate Home Entertainment;Stars=Sylvia Kristel, Alain Cuny, Marika Green;Country of Origin=United States;Genre=Drama;Directors=Just Jaeckin",books & media > movies > drama,8589934702,videos
111,,,,best buy > office > office & school supplies > binders folders & filing,8589934703,rest
112,2627,http://www.barnesandnoble.com/w/plain-brown-rapper-brown-james/10622615?ean=0633914000523,Label:=Xi Sounds;catalogNumber:=11;UPC:=0633914000523;Release Date:=11/22/2005,music,8589934704,music
113,,,,best buy > office > printers ink & toner > all printers > laser printers > all-in-one laser printers,8589934705,rest
114,,,,target > home > kids' home > boys' room > boys' room furniture,8589934706,rest
115,,,,patio lawn & garden > gardening > plants seeds & bulbs > herbs,8589934707,rest
116,26,https://www.overstock.com/Books-Movies-Music-Games/Rock-Bass/2443283/product.html,Dimensions=12x8.75x0.25;Publisher Date=1998-07-01 00:00:00.0;Pages=96;Number Within Set=1;Audience=General/trade;Thickness=0.25 in;Language=English;Height=12.0 in;Unit weight=0.75 lb;Wdth=8.75 in;Publisher=Hal Leonard Corp;Country of Origin=United States;Genre=MUSIC / Instruction & Study / General,books & media > books > performing arts books > music,8589934708,books
117,,,,best buy > computers & tablets > computer accessories & peripherals > laptop accessories > laptop bags & cases,8589934709,rest
118,,,,target > sports & outdoors > camping & outdoors > camp furniture,8589934710,rest
119,22,https://www.target.com/p/because-a-little-bug-went-ka-choo-hardcover-by-rosetta-stone/-/A-51803661,"Number of Pages=48;Store Item Number (DPCI)=059-03-6319;Series Title=I Can Read It All By Myself Beginner Books Series;ISBN=9780394831305;Street Date=October 7, 2016;Age Range=4-8 years;Language=english;Author=Rosetta Stone;TCIN=51803661;Genre=Juvenile Fiction;Book format=hardcover","target > movies, music & books > books > kids' books",8589934711,books
120,,,,target > shoes > women's shoes > heels & pumps,8589934712,rest
121,,,,grocery & gourmet food > snack foods > cookies > sugar,8589934713,rest
122,22,http://www.target.com/p/wonders-dvd/-/A-50808149,"Movie Genre=Drama;Store Item Number (DPCI)=246-02-7355;Origin=Made in the USA or Imported;UPC=857490005219;Movie Studio=Oscilloscope;Street Date=March 8, 2016;Language=italian, french, german;MPAA Rating=NR;Movie MPAA Rating=nr;Software Format=DVD;Movie Category=Feature;TCIN=50808149;Subtitle Language=english","target > movies, music & books > movies > drama",8589934714,videos
123,,,,best buy > appliances > washers & dryers > washing machines > top-loading washers,8589934715,rest
124,26,https://www.overstock.com/Books-Movies-Music-Games/Pantera-Planets-of-Destruction-DVD/7694230/product.html,Rating=Not Rated;Format=DVD;Dimensions=6.0x4.0x0.5;Weight=0.15 lbs;Studio=Koch Entertainment;Country of Origin=United States;Genre=Music Video - Documentary/Pop/Rock Music,books & media > movies > music videos/concerts,8589934716,videos
126,,,, office supplies  >  office furniture  >  office tables  >  conference tables ,8589934718,rest
127,,,,best buy > cameras & camcorders > binoculars telescopes & optics > binoculars,8589934719,rest
128,,,,bedding & bath > sheets & pillowcases > sheets,8589934720,rest
129,,,,tools & home improvement > power & hand tools > hand tools > wrenches > socket wrenches,8589934721,rest
130,,,,target > shoes > women's shoes > wedges,8589934722,rest
131,,,,automotive > replacement parts > body & trim > body > fenders & quarter panels > fenders,8589934723,rest
132,,,,industrial & scientific > hydraulics pneumatics & plumbing > valves > ball valves,8589934724,rest
136,,,,home & kitchen > bath > bathroom accessories > bathtub accessories > drain stoppers,8589934728,rest
138,,,,best buy > cameras & camcorders > digital camera accessories > camera lenses > mirrorless lenses,8589934730,rest
140,,,,best buy > office > office & school supplies > pens pencils & markers,8589934732,rest
141,24,http://www.amazon.com/dp/0130313998?psc=1,"ISBN-13=978-0130313997;Product Dimensions=6.8 x 0.8 x 9 inches;Language=English;Average Customer Review=1.8 out of 5 stars See all reviews 8 customer reviews;ISBN-10=0130313998;Shipping Weight=1.1 pounds View shipping rates and policies;Publisher=Prentice Hall; First Edition edition January 26, 2002;Amazon Best Sellers Rank=#2,776,184 in Books See Top 100 in Books #1084 in Books > Computers & Technology > Graphics & Design > Desktop Publishing #1722 in Books > Computers & Technology > Networking & Cloud Computing > Networks, Protocols & APIs > Networks #2768 in Books > Textbooks > Computer Science > Networking;Paperback=274 pages",books > computers & technology > graphics & design > desktop publishing,8589934733,books
142,23,https://www.walmart.com/ip/In-The-Lonely-Hour-Deluxe-Edition/37146620,2.=Good Thing;8.=Life Support;13.=La La La - Featuring Naughty Boy And Disclosure's 'Latch';Assembled Product Weight=0.19 Pounds;7.=Like I Can;10.=Lay Me Down;12.=Latch (Acoustic);6.=I've Told You Now;3.=Stay With Me;Record Label=CD;9.=Not In That Way;4.=Leave Your Lover;11.=Restart;Brand=UMGD;5.=I'm Not The Only One;14.=Make It To Me;Performer=Sam Smith;1.=Money On My Mind,music on cd or vinyl > pop music on cd or vinyl > pop rock music on cd or vinyl > music for deletion,8589934734,music
144,,,, target  >  clothing  >  school uniforms  >  boys' uniforms  >  boys' tops ,8589934736,rest
145,,,,health & beauty store > beauty products > hair care > hair color,8589934737,rest
146,,,,target > shoes > men's shoes > sandals,8589934738,rest
147,23,http://www.walmart.com/ip/21920355,Format=Hardcover;Number of Pages=477;ISBN-13=9780123914194;Publish Date=Jan 2013;ISBN-10=0123914191;Publisher=Butterworth-Heinemann,books > political & social sciences > social science,8589934739,books
148,23,https://www.walmart.com/ip/34433769,Performer=Dark Funeral;Record Label=RELATIVITY ENT;1.=4;Release Date=02/15/2011,music on cd or vinyl > rock music on cd or vinyl > alternative rock music on cd or vinyl,8589934740,music
150,,,,online shopping >  electronics >  telephones >  cell phone accessories >  cases & holders,8589934742,rest
151,,,,clothing shoes & jewelry > men > clothing > jackets & coats > vests,8589934743,rest
152,26,https://www.overstock.com/Books-Movies-Music-Games/Biblical-Collectors-Series-Biblical-Women-Biblical-Adam-and-Eve-DVD/8675943/product.html,Rating=Not Rated;Format=DVD;Dimensions=6.0x4.0x0.5;Weight=0.15 lbs;Studio=Digital 1 Stop;Country of Origin=United States;Genre=Documentary/Bible/Biblical/Christian Video,books & media > movies > religious,8589934744,videos
153,,,, online shopping  >  clothing & shoes  >  men's clothing  >  shirts  >  men's t-shirts ,8589934745,rest
154,22,http://www.target.com/p/soccer-mom-widescreen/-/A-11370045,"Run Time= 5520;Movie Genre= Comedy;Store Item Number (DPCI)=058-10-2272;Origin=Made in the USA or Imported;UPC=013131581393;Movie Studio= Starz/Anchor Bay;Movie Picture Format= widescreen;Language= english;MPAA Rating=PG Adult Language,  Adult Humor;Movie MPAA Rating= pg;Movie Category= Feature;TCIN=11370045;Subtitle Language= spanish","target > movies, music & books > movies > comedy",8589934746,videos
155,,,,home > decor > artificial plants and flowers > artificial flowers,8589934747,rest
156,,,,target > holiday > 4th of july,8589934748,rest
158,,,,home goods > garden & patio > outdoor decor > garden accents,8589934750,rest
159,,,,emergency preparedness > emergency food & water > grains & flour > flour,8589934751,rest
160,,,, clothing & shoes  >  accessories  >  eyeglasses  >  prescription glasses ,8589934752,rest
161,,,,office supplies > pens pencils & markers > markers > permanent markers,8589934753,rest
162,,,,best buy > wearable technology > apple watch > apple watch nike plus,8589934754,rest
163,,,,automotive > exterior accessories,8589934755,rest
164,,,,target > clothing > toddler boys' clothing > outerwear,8589934756,rest
165,,,,home goods > kitchen & dining > serveware > tabletop accents,8589934757,rest
167,,,, home  >  furniture  >  bedroom furniture  >  headboards ,8589934759,rest
168,,,,target > clothing > men's clothing > shirts > t-shirts,8589934760,rest
169,,,, home  >  decor  >  art & wall decor  >  canvas wall art ,8589934761,rest
170,,,,industrial & scientific > fasteners > screws & bolts > lag screws & bolts,8589934762,rest
171,,,,pet supplies > small animals > carriers,8589934763,rest
172,,,,target > home > home d?cor > throw pillows,8589934764,rest
173,,,,electronics > computers & accessories > laptop accessories > replacement screens,8589934765,rest
174,22,http://www.target.com/p/historical-dictionary-of-architecture-hardcover-allison-lee-palmer/-/A-51321387,"Number of Pages=396;Store Item Number (DPCI)=248-19-1451;Series Title=Historical Dictionaries of Literature and the Arts;Origin=Made in the USA or Imported;ISBN=9781442263086;Street Date=May 26, 2016;Language=english;Author=Allison Lee Palmer;TCIN=51321387;Genre=Architecture, Reference;Sub-Genre=Architecture, History;Book format=hardcover","target > movies, music & books > books > see more genres > art, photography & design",8589934766,books
176,,,,health & household > personal care > skin care > body > cleansers > soaps,8589934768,rest
177,,,,home goods > home decor store > decorative accessories > throw pillows,8589934769,rest
178,23,http://www.walmart.com/ip/21103102,Format=Paperback;Number of Pages=144;ISBN-13=9780764210730;Publish Date=Jan 2013;ISBN-10=0764210734;Publisher=Baker Pub Group,books > religion > religion - general,8589934770,books
180,,,,target > toys > dress up & pretend play > costumes & dress up,8589934772,rest
181,,,,target > clothing > men's clothing > workwear,8589934773,rest
182,,,,target > home > home d?cor > rugs > runners,8589934774,rest
183,,,,target > clothing > women's clothing > activewear > sports bras > medium impact,8589934775,rest
184,,,,grocery & gourmet food > coffee tea & beverages > coffee,8589934776,rest
186,,,,best buy > computers & tablets > laptops > all laptops > pc laptops,8589934778,rest
187,26,https://www.overstock.com/Books-Movies-Music-Games/Cruising-for-Trouble-Hardcover/4276064/product.html,"Format=Hardcover;Copyright Year=2010;Publisher Date=2010-03-19 00:00:00.0;Pages=285;Subtitle=Cruise Ships As Soft Targets for Pirates, Terrorists, and Common Criminals;Audience=College/higher education;Thickness=1.25 in;Language=English;Height=9.25 in;Unit weight=1.4 lb;Wdth=6.25 in;Authors=Gaouette, Mark;Publisher=Praeger Pub Text;Country of Origin=United States;Genre=SOCIAL SCIENCE / Criminology",books & media > books > political science books > general,8589934779,books
188,,,,target > clothing > men's clothing > big & tall > big & tall shirts,8589934780,rest
190,,,,best buy > computers & tablets > monitors > all monitors,8589934782,rest
191,,,,toys & games > dolls & accessories > dolls,8589934783,rest
192,,,,target > home > home d?cor > slipcovers & futon covers,8589934784,rest
194,,,,target > accessories > men's accessories > belts & buckles,8589934786,rest
195,,,,"target > home > home d?cor > curtains, blinds & shades > blinds & shades",8589934787,rest
196,,,,sewing & craft store > crafts > other crafts,8589934788,rest
197,,,,target > clothing > women's clothing > intimates > bras > full coverage,8589934789,rest
198,,,,target > clothing > boys' clothing > bottoms > pants,8589934790,rest
200,,,,home & kitchen > kitchen & dining > storage & organization > food storage > food storage & organization sets,8589934792,rest
201,6075,https://www.abebooks.com/servlet/BookDetailsPL?bi=20201031947&searchurl=isbn%3D0140119736%26sortby%3D17,Book Condition=Very Good;Publication Date=1990;Title=What Mad Pursuit;Publisher=Penguin Books Ltd 26/04/1990,francis crick,8589934793,books
202,,,,sports & outdoors > team sports > sports & duffel bags,8589934794,rest
203,,,,target > clothing > men's clothing > pants > chino pants,8589934795,rest
204,,,,clothing shoes & jewelry > novelty & more > clothing > novelty > women,8589934796,rest
205,,,,clothing shoes & jewelry > novelty & more > clothing > novelty > men > shirts > t-shirts,8589934797,rest
206,2627,https://www.barnesandnoble.com/w/where-the-horses-run-kaki-warner/1117745968?ean=9781101599198,"Format=NOOK Book - $5.99;Sold by:=Penguin Group;Publication date:=07/01/2014;Publisher:=Penguin Publishing Group;Pages:=352;File size:=1 MB;Format:=NOOK Book;ISBN-13:=9781101599198;Series:=Heroes of Heartbreak Creek , #2;Age Range:=18 Years;Sales rank:=100,915",books,8589934798,books
207,,,,target > dickies,8589934799,rest
208,,,,"health & household > household supplies > paper & plastic > disposable plates, bowls & cutlery > plates",8589934800,rest
210,,,,target > clearance > clothing & accessories clearance > men's clothing clearance,8589934802,rest
211,23,https://www.walmart.com/ip/Live-At-The-Green-Mill/29332403,2.=There Is No Greater Love;8.=I'm Walkin';7.=Body And Soul;6.=Green Mill Blues;3.=Kelly's Blues;4.=Manha De Carnival;Release Date=09/13/2005;5.=Exactly Like You;Performer=Mike Jones;1.=Robbin's Nest,music on cd or vinyl > jazz music on cd or vinyl > contemporary jazz music on cd or vinyl,8589934803,music
212,,,,electronics > computers & accessories > computer accessories & peripherals > cables & interconnects > ethernet cables > cat 6 cables,8589934804,rest
213,,,,hobbies & collectibles,8589934805,rest
214,,,,home & kitchen > wall art > posters & prints,8589934806,rest
215,,,, sports & outdoors  >  exercise & fitness  >  fitness gear ,8589934807,rest
216,,,,office > office supplies > office organization > filing & storage,8589934808,rest
218,,,,sports & toys > collectibles > fan shop > other sports,8589934810,rest
219,,,,best buy > health fitness & beauty > personal care & beauty > shavers & trimmers > women's shavers,8589934811,rest
220,,,,target > shoes > women's shoes > flats,8589934812,rest
221,,,,tools & home improvement > lighting & ceiling fans > ceiling lights > track lighting > tracks & rails,8589934813,rest
222,,,,target > clearance > clothing & accessories > women's clothing > tops,8589934814,rest
224,,,, jewelry ,8589934816,rest
225,,,,best buy > office > telephones & communication > corded telephones,8589934817,rest
226,,,,home & kitchen > event & party supplies > tableware > cups,8589934818,rest
228,22,http://www.target.com/p/camino-portugues-maps-lisboa-porto-santiago-camino-central-camino-de-la-costa-paperback-john/-/A-51836118,"Number of Pages=96;Store Item Number (DPCI)=248-35-2724;Series Title=Camino Guides;Origin=Made in the USA or Imported;ISBN=9781844097159;Street Date=October 11, 2016;Language=english;Author=John Brierley;TCIN=51836118;Genre=Travel;Book format=paperback","target > movies, music & books > books > see more genres > travel & transportation",8589934820,books
229,,,, pets  >  dogs  >  collars & leashes ,8589934821,rest
230,,,,best buy > appliances > refrigerators > french door refrigerators,8589934822,rest
232,,,,sports & outdoors > sports fan shop > for the home fan shop > furniture fan shop,8589934824,rest
233,,,,target > clearance > clothing & accessories clearance > baby girls' clothing clearance,8589934825,rest
234,,,,beauty > fragrance > men's > eau de toilette,8589934826,rest
235,,,,pet supplies > dogs > carriers & travel products > car travel accessories > seat covers,8589934827,rest
237,22,http://www.target.com/p/grift-syner-cd/-/A-50108889,"Store Item Number (DPCI)=244-06-1168;Record label=Alliance import;UPC=7320470204740;Street Date=September 18, 2015;Software Format=CD;Pop Music Genre=Rock;Artist=Grift;TCIN=50108889","target > movies, music & books > music > rock",8589934829,music
238,,,,electronics > portable audio > all mp3 players,8589934830,rest
239,,,, jewelry & watches  >  jewelry  >  wedding rings  >  engagement rings ,8589934831,rest
240,,,,clothing & shoe store > shoes > women's shoes > heels,8589934832,rest
241,,,,sports & outdoors > sports fan shop > electronics fan shop,8589934833,rest
243,24,http://www.amazon.com/dp/B003TWKW40?psc=1,"Format=Import;Number of Discs=2;Average Customer Review=4.7 out of 5 stars See all reviews 31 customer reviews;Label=101 DISTRIBUTION;ASIN=B003TWKW40;Amazon Best Sellers Rank=#54,746 in CDs & Vinyl See Top 100 in CDs & Vinyl #2331 in CDs & Vinyl > Broadway & Vocalists #4435 in CDs & Vinyl > Pop > Vocal Pop",cds & vinyl > broadway & vocalists > cds & vinyl > pop > vocal pop,8589934835,music
245,,,,clothing & shoe store > women's clothing store > intimates > bras,8589934837,rest
246,,,,clothing & shoes > women's clothing > suits & suit separates > blazers,8589934838,rest
248,,,,health & household > house supplies > cleaning tools > gloves > latex gloves,8589934840,rest
249,,,,target > clothing > men's clothing > big & tall,8589934841,rest
250,,,,automotive > replacement parts > fuel system > carburetors & parts > self-tapping screws,8589934842,rest
251,,,,auto & tires > auto body tools & equipment > automotive electrical,8589934843,rest
252,,,, home  >  decor  >  rugs  >  area rugs ,8589934844,rest
253,,,,target > clothing > women's clothing > juniors > juniors' intimates > bras,8589934845,rest
254,,,,home & kitchen > home dÌ©cor > home dÌ©cor accents > ornaments,8589934846,rest
256,,,, online shopping  >  clothing & shoes  >  men's clothing  >  shirts  >  dress shirts ,8589934848,rest
